name	id	coaching_history	current_team_head_coached
Rex Norris	/guid/9202a8c04000641f80000000056740a3		
Branch Bocock	/guid/9202a8c04000641f80000000011be7b9		
George Crispin	/guid/9202a8c04000641f8000000006ec140f		
Chuck Curtis	/guid/9202a8c04000641f8000000006f2758b		
Mark Ribaudo	/guid/9202a8c04000641f8000000006ec539f		
Sark Arslanian	/guid/9202a8c04000641f8000000006eba800		
Greg Knapp	/guid/9202a8c04000641f8000000004643f5d	/guid/9202a8c04000641f800000000a2db6bb	
Joker Phillips	/guid/9202a8c04000641f8000000000efcf5a		
C. A. Wynne	/guid/9202a8c04000641f8000000000ee6a19		
Randy Ball	/guid/9202a8c04000641f8000000006f7b7b6		
Harry Mackey	/guid/9202a8c04000641f8000000006c2f75d		
John Mumford	/guid/9202a8c04000641f8000000006c3b8bf		
Dick Todd	/guid/9202a8c04000641f80000000011c9349	/guid/9202a8c04000641f8000000009c7846d	
Daniel A. Reed	/guid/9202a8c04000641f8000000000c0e56e		
Larry Fedora	/guid/9202a8c04000641f8000000006b5b0f5		
Garin Higgins	/guid/9202a8c04000641f8000000006ebda8b		
Larry Mac Duff	/guid/9202a8c04000641f80000000055e443f		
Lary Kuharich	/guid/9202a8c04000641f8000000005e1a6e5		
Bob Ligashesky	/guid/9202a8c04000641f8000000006b00089		
Grant Teaff	/guid/9202a8c04000641f80000000056673d3		
Joseph Massie	/guid/9202a8c04000641f8000000006c29a57		
Bum Phillips	/guid/9202a8c04000641f80000000003c5d1d	/guid/9202a8c04000641f8000000009c785e0	
Phil Bengtson	/guid/9202a8c04000641f800000000036d449	/guid/9202a8c04000641f8000000009c77864	
Robert Neyland	/guid/9202a8c04000641f800000000053959a		
Hugo Bezdek	/guid/9202a8c04000641f8000000000929d6e	/guid/9202a8c04000641f8000000009c77dc9	
Clark Shaughnessy	/guid/9202a8c04000641f8000000000bdc3f3	/guid/9202a8c04000641f8000000009c77de1	
Jim Carlen	/guid/9202a8c04000641f8000000000f3ef45		
George Rider	/guid/9202a8c04000641f8000000000c83e4b		
