name	id	coaches_holding_this_position
Special Teams Coach	/guid/9202a8c04000641f8000000009c72312	
Offensive line coach	/guid/9202a8c04000641f80000000055db384	
Linebackers Coach	/guid/9202a8c04000641f80000000055db6bf	/guid/9202a8c04000641f800000000a1325ea
Head coach	/guid/9202a8c04000641f800000000029b3e2	/guid/9202a8c04000641f8000000009d8bfea,/guid/9202a8c04000641f8000000009d8bfd2,/guid/9202a8c04000641f8000000009d8bfe6,/guid/9202a8c04000641f8000000009d8bfe2,/guid/9202a8c04000641f8000000009d8bfd6,/guid/9202a8c04000641f8000000009d8bfde,/guid/9202a8c04000641f8000000009d8beb1,/guid/9202a8c04000641f8000000009d8bfda,/guid/9202a8c04000641f8000000009d8bfce,/guid/9202a8c04000641f8000000009d8bfca,/guid/9202a8c04000641f8000000009d8bffa,/guid/9202a8c04000641f8000000009d8bfc6,/guid/9202a8c04000641f8000000009d8bcb8,/guid/9202a8c04000641f8000000009d8bff6,/guid/9202a8c04000641f8000000009d8bff2,/guid/9202a8c04000641f8000000009d8bfee,/guid/9202a8c04000641f8000000009c7808a,/guid/9202a8c04000641f800000000a1325d5,/guid/9202a8c04000641f8000000009c7807e,/guid/9202a8c04000641f8000000009cdc4b5,/guid/9202a8c04000641f8000000009e94491,/guid/9202a8c04000641f8000000009c785cc,/guid/9202a8c04000641f8000000009c786f5,/guid/9202a8c04000641f8000000009c788af,/guid/9202a8c04000641f8000000009c788a6,/guid/9202a8c04000641f8000000009c7889e,/guid/9202a8c04000641f8000000009c78896,/guid/9202a8c04000641f8000000009c785f4,/guid/9202a8c04000641f8000000009c7888e,/guid/9202a8c04000641f8000000009c786f9,/guid/9202a8c04000641f8000000009c785c4,/guid/9202a8c04000641f8000000009c785c8,/guid/9202a8c04000641f8000000009c786fd,/guid/9202a8c04000641f8000000009c785d0,/guid/9202a8c04000641f8000000009c78701,/guid/9202a8c04000641f8000000009c785d4,/guid/9202a8c04000641f8000000009c7886c,/guid/9202a8c04000641f8000000009c785d8,/guid/9202a8c04000641f8000000009c785dc,/guid/9202a8c04000641f8000000009c78705,/guid/9202a8c04000641f8000000009c78709,/guid/9202a8c04000641f8000000009c785e0,/guid/9202a8c04000641f8000000009c785e4,/guid/9202a8c04000641f8000000009c785e8,/guid/9202a8c04000641f8000000009c785ec,/guid/9202a8c04000641f8000000009c7870d,/guid/9202a8c04000641f8000000009c78711,/guid/9202a8c04000641f8000000009c785f0,/guid/9202a8c04000641f8000000009c7892f,/guid/9202a8c04000641f8000000009c788f7,/guid/9202a8c04000641f8000000009c788fb,/guid/9202a8c04000641f8000000009c788ff,/guid/9202a8c04000641f8000000009c78715,/guid/9202a8c04000641f8000000009c78903,/guid/9202a8c04000641f8000000009c78719,/guid/9202a8c04000641f8000000009c78907,/guid/9202a8c04000641f8000000009c7871d,/guid/9202a8c04000641f8000000009c7890b,/guid/9202a8c04000641f8000000009c7890f,/guid/9202a8c04000641f8000000009c78913,/guid/9202a8c04000641f8000000009c78721,/guid/9202a8c04000641f8000000009c78917,/guid/9202a8c04000641f8000000009c7891b,/guid/9202a8c04000641f8000000009c7891f,/guid/9202a8c04000641f8000000009c78923,/guid/9202a8c04000641f8000000009c786f1,/guid/9202a8c04000641f8000000009c786ed,/guid/9202a8c04000641f8000000009c7881b,/guid/9202a8c04000641f8000000009c78817,/guid/9202a8c04000641f8000000009c78927,/guid/9202a8c04000641f8000000009c7892b,/guid/9202a8c04000641f8000000009c78813,/guid/9202a8c04000641f8000000009c786e9,/guid/9202a8c04000641f8000000009c78725,/guid/9202a8c04000641f8000000009c7880f,/guid/9202a8c04000641f8000000009c7880b,/guid/9202a8c04000641f8000000009c7881f,/guid/9202a8c04000641f8000000009c724e5,/guid/9202a8c04000641f8000000009c724ed,/guid/9202a8c04000641f8000000009f3d38a,/guid/9202a8c04000641f8000000009f3d789
Defensive Line Coach	/guid/9202a8c04000641f80000000055db58a	
Running backs coach	/guid/9202a8c04000641f8000000006bd0eb3	
Wide receivers coach	/guid/9202a8c04000641f8000000006bd0ed4	
Defensive Backs Coach	/guid/9202a8c04000641f80000000055db89e	
Offensive coordinator	/guid/9202a8c04000641f80000000003a7167	/guid/9202a8c04000641f800000000a1bb471,/guid/9202a8c04000641f800000000a2db6bb
Defensive coordinator	/guid/9202a8c04000641f80000000003a7172	/guid/9202a8c04000641f800000000a1325df,/guid/9202a8c04000641f800000000a1325cc
Quarterbacks coach	/guid/9202a8c04000641f8000000006bd1286	
